CustomerID,Churned,Recency,Frequency,Monetary,InvoiceNo_nunique,Quantity_sum,Quantity_mean,TotalPrice_sum,TotalPrice_mean,TotalPrice_std,StockCode_nunique,CustomerLifetime,AvgDaysBetweenPurchases,Country_United Kingdom,Country_Germany,Country_France,Country_Netherlands,Country_Belgium,Country_Spain,Country_Portugal,Country_Switzerland,Country_Austria,Country_Denmark
16384,0,135,1,319.75,1,191,9.55,319.75,15.9875,4.824904553187391,20,0,0.0,1,0,0,0,0,0,0,0,0,0
16385,0,176,1,110.26,1,64,2.782608695652174,110.26,4.793913043478261,4.091447553495456,23,0,0.0,1,0,0,0,0,0,0,0,0,0
16390,1,81,3,467.5,3,122,5.809523809523809,467.5,22.261904761904763,11.983372905425092,16,142,47.333333333333336,1,0,0,0,0,0,0,0,0,0
16391,0,42,3,594.66,3,370,1.989247311827957,594.66,3.197096774193548,3.6569631709695103,154,64,21.333333333333332,1,0,0,0,0,0,0,0,0,0
16392,0,106,1,192.29,1,131,4.09375,192.29,6.0090625,5.0748820799108225,32,0,0.0,1,0,0,0,0,0,0,0,0,0
16393,0,45,6,1376.95,6,868,2.809061488673139,1376.95,4.456148867313916,4.749255347356041,198,237,39.5,1,0,0,0,0,0,0,0,0,0
16395,0,36,3,550.57,3,423,4.7,550.57,6.117444444444445,4.675545888001902,83,242,80.66666666666667,1,0,0,0,0,0,0,0,0,0
16396,1,21,1,137.8,1,80,10.0,137.8,17.225,7.34530948487342,8,0,0.0,1,0,0,0,0,0,0,0,0,0
16397,1,173,1,127.88,1,50,4.545454545454546,127.88,11.625454545454545,14.703051631301825,9,0,0.0,1,0,0,0,0,0,0,0,0,0
16400,0,47,6,2184.38,6,1361,6.704433497536946,2184.38,10.760492610837439,13.219891805914816,146,228,38.0,1,0,0,0,0,0,0,0,0,0
16401,0,21,6,778.52,6,684,7.7727272727272725,778.52,8.84681818181818,14.13675957809501,61,79,13.166666666666666,1,0,0,0,0,0,0,0,0,0
16408,1,136,1,231.93,1,227,5.044444444444444,231.93,5.154,2.805682869398529,45,0,0.0,1,0,0,0,0,0,0,0,0,0
