experiment_number,model_name,use_pca,use_tuning,model_file,timestamp,f1_score,accuracy,precision,recall,confusion_matrix
1,LogisticRegression,False,False,exp1_logisticregression_pcaFalse_tuneFalse.pkl,2025-12-17T23:11:20.567240,0.5688487584650114,0.6637323943661971,0.5650224215246636,0.5727272727272728,"[[251, 97], [94, 126]]"
2,LogisticRegression,False,True,exp2_logisticregression_pcaFalse_tuneTrue.pkl,2025-12-17T23:11:25.788899,0.5397489539748953,0.6126760563380281,0.5,0.5863636363636363,"[[219, 129], [91, 129]]"
3,LogisticRegression,True,False,exp3_logisticregression_pcaTrue_tuneFalse.pkl,2025-12-17T23:11:25.813112,0.5510688836104513,0.6672535211267606,0.5771144278606966,0.5272727272727272,"[[263, 85], [104, 116]]"
4,LogisticRegression,True,True,exp4_logisticregression_pcaTrue_tuneTrue.pkl,2025-12-17T23:11:26.823681,0.6167883211678832,0.6302816901408451,0.5152439024390244,0.7681818181818182,"[[189, 159], [51, 169]]"
5,RandomForest,False,False,exp5_randomforest_pcaFalse_tuneFalse.pkl,2025-12-17T23:11:27.096425,0.5263157894736842,0.6514084507042254,0.5555555555555556,0.5,"[[260, 88], [110, 110]]"
6,RandomForest,False,True,exp6_randomforest_pcaFalse_tuneTrue.pkl,2025-12-17T23:11:39.869837,0.5368171021377672,0.6566901408450704,0.5621890547263682,0.5136363636363637,"[[260, 88], [107, 113]]"
7,RandomForest,True,False,exp7_randomforest_pcaTrue_tuneFalse.pkl,2025-12-17T23:11:40.399565,0.5441176470588236,0.6725352112676056,0.5904255319148937,0.5045454545454545,"[[271, 77], [109, 111]]"
8,RandomForest,True,True,exp8_randomforest_pcaTrue_tuneTrue.pkl,2025-12-17T23:12:02.513225,0.5253012048192771,0.653169014084507,0.558974358974359,0.4954545454545455,"[[262, 86], [111, 109]]"
9,XGBoost,False,False,exp9_xgboost_pcaFalse_tuneFalse.pkl,2025-12-17T23:12:02.588960,0.5036674816625918,0.6426056338028169,0.544973544973545,0.4681818181818182,"[[262, 86], [117, 103]]"
10,XGBoost,False,True,exp10_xgboost_pcaFalse_tuneTrue.pkl,2025-12-17T23:12:07.144717,0.5380952380952381,0.6584507042253521,0.565,0.5136363636363637,"[[261, 87], [107, 113]]"
11,XGBoost,True,False,exp11_xgboost_pcaTrue_tuneFalse.pkl,2025-12-17T23:12:07.231334,0.5563549160671462,0.6742957746478874,0.5888324873096447,0.5272727272727272,"[[267, 81], [104, 116]]"
12,XGBoost,True,True,exp12_xgboost_pcaTrue_tuneTrue.pkl,2025-12-17T23:12:11.664887,0.5285714285714286,0.6514084507042254,0.555,0.5045454545454545,"[[259, 89], [109, 111]]"
13,SVM,False,False,exp13_svm_pcaFalse_tuneFalse.pkl,2025-12-17T23:12:12.107117,0.5480093676814988,0.6602112676056338,0.5652173913043478,0.5318181818181819,"[[258, 90], [103, 117]]"
14,SVM,False,True,exp14_svm_pcaFalse_tuneTrue.pkl,2025-12-17T23:12:20.291172,0.5726681127982647,0.653169014084507,0.5477178423236515,0.6,"[[239, 109], [88, 132]]"
15,SVM,True,False,exp15_svm_pcaTrue_tuneFalse.pkl,2025-12-17T23:12:20.681631,0.5467289719626169,0.6584507042253521,0.5625,0.5318181818181819,"[[257, 91], [103, 117]]"
16,SVM,True,True,exp16_svm_pcaTrue_tuneTrue.pkl,2025-12-17T23:12:28.336065,0.5683297180043383,0.6496478873239436,0.5435684647302904,0.5954545454545455,"[[238, 110], [89, 131]]"
